@relation steam_transactions

@attribute steamid string
@attribute apps string

@data
"7.656119796362802e+16","{2799040}"
"7.6561197963636e+16","{50000}"
"7.656119796364442e+16","{80300}"
"7.656119796365806e+16","{311690}"
"7.656119796365918e+16","{274010}"
"7.656119796366704e+16","{308460}"
"7.656119796369088e+16","{67000}"
"7.656119796370126e+16","{8500}"
"7.65611979637016e+16","{302590}"
"7.656119796371386e+16","{2820820}"
"7.656119796372582e+16","{2888470}"
"7.656119796375104e+16","{29160}"
"7.656119796375691e+16","{3178350}"
"7.656119796375861e+16","{2971610}"
"7.656119796376322e+16","{323380}"
"7.65611979638148e+16","{321400}"
"7.656119796382813e+16","{336440}"
"7.65611979638333e+16","{340450}"
"7.656119796383454e+16","{46000}"
"7.656119796383517e+16","{276750}"
"7.656119796383926e+16","{271570}"
"7.656119796385285e+16","{42500,44690,67000}"
"7.656119796387878e+16","{39900}"
"7.656119796389594e+16","{46000}"
"7.656119796391002e+16","{2698460}"
"7.656119796392392e+16","{2869510}"
"7.656119796392544e+16","{293460}"
"7.656119796393546e+16","{3339460}"
"7.656119796395646e+16","{339350}"
"7.65611979639589e+16","{109600}"
"7.65611979639597e+16","{320240}"
"7.656119796396787e+16","{44690}"
"7.656119796398181e+16","{346340}"
"7.656119796398298e+16","{2785330}"
"7.6561197963986e+16","{44100}"
"7.656119796399974e+16","{2929540}"
"7.656119796400981e+16","{6600,15900,27940}"
"7.656119796402251e+16","{6600}"
"7.656119796405986e+16","{314210}"
"7.656119796406384e+16","{18820}"
"7.65611979640728e+16","{317840}"
"7.656119796408294e+16","{39160}"
"7.65611979640929e+16","{330270}"
"7.656119796409488e+16","{342230}"
"7.656119796409618e+16","{341680}"
"7.656119796410824e+16","{3409500}"
"7.656119796410982e+16","{274480}"
"7.656119796411152e+16","{2520,29160}"
"7.656119796411667e+16","{296930}"
"7.656119796411686e+16","{317720}"
"7.656119796412107e+16","{286380}"
"7.65611979641281e+16","{3099000}"
"7.656119796413437e+16","{2420,9960,42140}"
"7.656119796413603e+16","{273590}"
"7.656119796413755e+16","{2706210}"
"7.65611979641451e+16","{325210}"
"7.656119796414523e+16","{275290}"
"7.656119796415366e+16","{4780,39660,46790}"
"7.656119796415482e+16","{2864890}"
"7.656119796415557e+16","{336930}"
"7.656119796417194e+16","{310110}"
"7.65611979641777e+16","{333930}"
"7.65611979641856e+16","{2835570}"
"7.656119796421178e+16","{301730}"
"7.656119796421629e+16","{282070}"
"7.656119796421675e+16","{291250}"
"7.656119796422307e+16","{33660}"
"7.656119796422933e+16","{2860150}"
"7.656119796423851e+16","{7520}"
"7.656119796423962e+16","{2928520}"
"7.65611979642597e+16","{305920}"
"7.656119796428322e+16","{291650}"
"7.656119796430107e+16","{3108510}"
"7.65611979643222e+16","{2709120}"
"7.656119796433814e+16","{310110}"
"7.656119796435058e+16","{9980,202370}"
"7.656119796435189e+16","{2790330}"
"7.656119796435266e+16","{2869510}"
"7.656119796435594e+16","{3320100}"
