steamid,app_id
76561197960370618,[252190]
76561197960371374,[42500]
76561197960372187,[1780260]
76561197960372601,[630630]
76561197960373128,[739130]
76561197960373660,"[6210, 292670, 344270, 344300, 356790, 402850, 425340, 461360, 487600, 501930, 502240, 507520, 563180, 566670, 569050, 576130, 583530, 585920, 589640, 597810, 600690, 603060, 607030, 611770, 640970, 654770, 655180, 660040, 660290, 664530, 666800, 669750, 675960, 680190, 680930, 686090, 690260, 692680, 694980, 700830, 707870, 707960, 709940, 712610, 713010, 713600, 713800, 717820, 721960, 737330, 737730, 738720, 739180, 744170, 764180, 805870, 941790, 944260]"
76561197960373949,[2971610]
76561197960376021,[1006430]
76561197960376751,[611810]
76561197960378583,[454350]
76561197960379146,[116120]
76561197960381398,"[1889740, 1982340]"
76561197960382659,[457960]
76561197960383596,[352370]
76561197960384841,[967910]
76561197960384857,"[304430, 433550, 2141730]"
76561197960385340,[3060170]
76561197960386816,[751110]
76561197960386986,[436870]
76561197960388753,"[478950, 493040]"
76561197960388862,[661070]
76561197960392996,[517210]
76561197960393604,"[1136080, 1543940]"
76561197960394320,[1286220]
76561197960396581,[2904000]
76561197960397005,[2213650]
76561197960397671,"[301700, 301690, 319400]"
76561197960398288,[976890]
76561197960400528,"[2716400, 1165380]"
76561197960401084,[522900]
76561197960401237,[1869710]
76561197960402338,[1957170]
76561197960402941,[943190]
76561197960403610,[2321470]
76561197960403639,[489110]
76561197960404305,[711210]
76561197960404946,[1442840]
76561197960405222,[2057120]
76561197960405726,[1566200]
76561197960406072,[1175460]
76561197960406894,[1592280]
76561197960408823,[1229240]
76561197960409113,"[452970, 1846890]"
76561197960409448,[1871620]
76561197960409596,[1366770]
76561197960410177,"[387870, 1388870]"
76561197960410235,"[427240, 615910]"
76561197960410281,[346340]
76561197960410304,[1445260]
76561197960410359,[346340]
76561197960411577,[372350]
76561197960411965,[2817450]
76561197960412639,[366250]
76561197960412983,[295870]
76561197960414300,[370590]
76561197960414615,[455960]
76561197960414632,[381320]
76561197960414686,[587930]
76561197960414858,"[1347130, 2104750]"
76561197960415240,[921570]
76561197960415305,[3392980]
76561197960415477,[2694490]
76561197960415577,[2475490]
76561197960416131,[314010]
76561197960416354,[2644470]
76561197960416994,[1485580]
76561197960417293,[1517800]
76561197960419510,[2459550]
76561197960420510,[2880480]
76561197960420790,"[2754380, 23440, 448910, 509820, 658770, 983990, 1234700, 1386110]"
76561197960421341,[1238250]
76561197960421640,[23380]
76561197960421901,[371970]
76561197960421971,[1463960]
76561197960423836,[1850160]
76561197960426753,[104000]
76561197960426881,"[376130, 632170]"
76561197960427320,[286380]
76561197960427377,[342970]
76561197960427573,[394870]
76561197960429278,"[2727210, 1159090]"
76561197960429880,[1232940]
76561197960430014,[1964310]
76561197960430502,[471710]
76561197960430705,[2056210]
76561197960430964,[330620]
76561197960433097,[589640]
76561197960435162,[2725260]
76561197960435901,[2064700]
76561197960436312,[1675830]
76561197960436778,"[219990, 2244830]"
76561197960436848,"[429830, 433600, 459350]"
76561197960437622,[1895880]
76561197960438296,[671170]
76561197960440172,[457130]
76561197960441380,"[644890, 733250]"
76561197960441418,[1641960]
76561197960441606,[1656930]
76561197960441796,[2515020]
76561197960442739,[1158160]
76561197960442947,[637410]
76561197960443822,[1544000]
76561197960444102,[598620]
76561197960444303,[2116120]
76561197960444536,[1551360]
76561197960445322,[1978380]
76561197960445924,[620170]
76561197960446424,[609010]
76561197960446706,[1898950]
76561197960446943,"[1261430, 1481960]"
76561197960447161,[1885110]
76561197960447288,[2457220]
76561197960447803,[1137490]
76561197960448962,"[524690, 1155300, 2500450]"
76561197960449430,[391250]
76561197960449660,[2406370]
76561197960449684,[1923070]
76561197960450464,[744600]
76561197960450994,[1010230]
76561197960451002,[330620]
76561197960451924,[111400]
76561197960452653,[3172500]
76561197960452964,[1366150]
76561197960453516,[1159290]
76561197960454691,[2134770]
76561197960455046,[333930]
76561197960455817,[274480]
76561197960456205,"[1182900, 1198050]"
76561197960457060,[355310]
76561197960457159,[341530]
76561197960457821,[1975520]
76561197960458832,[1550230]
76561197960458850,[1975520]
76561197960459967,[2002140]
76561197960460407,[425580]
76561197960461463,[1871620]
76561197960462472,[2815150]
76561197960463089,[362890]
76561197960463112,[2900]
76561197960464157,[341800]
76561197960464308,"[617820, 658530]"
76561197960464457,[457960]
76561197960464969,[1959390]
76561197960465568,[337320]
76561197960468429,[851980]
76561197960468484,[274480]
76561197960469420,[2357000]
76561197960469613,[18600]
76561197960470302,[655620]
76561197960471359,[2948330]
